https://github.com/accelio/accelio com,github)/accelio/accelio 201901 /data/lsals/ETD-90K/2019_53237_Computer-Science.pdf etd GitHub
https://github.com/accelio/nbdx com,github)/accelio/nbdx 201901 /data/lsals/ETD-90K/2019_53237_Computer-Science.pdf etd GitHub
https://github.com/accelio/nbdx com,github)/accelio/nbdx 201901 /data/lsals/ETD-90K/2019_53238_Computer-Science.pdf etd GitHub
https://github.com/acl2/acl2 com,github)/acl2/acl2 201601 /data/lsals/ETD-90K/2016_250285_Computer-Sciences.pdf etd GitHub
https://github.com/acl2/acl2/tree/master/books/models/y86 com,github)/acl2/acl2/tree/master/books/models/y86 201601 /data/lsals/ETD-90K/2016_250285_Computer-Sciences.pdf etd GitHub
https://github.com/acl2/acl2/tree/master/books/projects/async com,github)/acl2/acl2/tree/master/books/projects/async 201901 /data/lsals/ETD-90K/2019_254043_Computer-Sciences.pdf etd GitHub
https://github.com/acl2/acl2/tree/master/books/projects/codewalker com,github)/acl2/acl2/tree/master/books/projects/codewalker 201601 /data/lsals/ETD-90K/2016_250285_Computer-Sciences.pdf etd GitHub
https://github.com/acl2/acl2/tree/master/books/projects/x86isa com,github)/acl2/acl2/tree/master/books/projects/x86isa 201601 /data/lsals/ETD-90K/2016_250285_Computer-Sciences.pdf etd GitHub
https://github.com/acl2/acl2/tree/master/books/projects/x86isa/proofs/popcount/popcount-general.lisp com,github)/acl2/acl2/tree/master/books/projects/x86isa/proofs/popcount/popcount-general.lisp 201601 /data/lsals/ETD-90K/2016_250285_Computer-Sciences.pdf etd GitHub
https://github.com/acl2/acl2/tree/master/books/projects/x86isa/tools/execution/examples/documenting-edge-cases com,github)/acl2/acl2/tree/master/books/projects/x86isa/tools/execution/examples/documenting-edge-cases 201601 /data/lsals/ETD-90K/2016_250285_Computer-Sciences.pdf etd GitHub
https://github.com/acraddoc91/dataacquisitionrbry com,github)/acraddoc91/dataacquisitionrbry 202001 /data/lsals/ETD-90K/2020_389469_Physics.pdf etd GitHub
https://github.com/acraddoc91/rbry_correlations com,github)/acraddoc91/rbry_correlations 202001 /data/lsals/ETD-90K/2020_389469_Physics.pdf etd GitHub
https://github.com/acraddoc91/rbry_oven_control com,github)/acraddoc91/rbry_oven_control 202001 /data/lsals/ETD-90K/2020_389469_Physics.pdf etd GitHub
https://github.com/acraddoc91/timetaggerrbry com,github)/acraddoc91/timetaggerrbry 202001 /data/lsals/ETD-90K/2020_389469_Physics.pdf etd GitHub
https://github.com/acshulyak/ashulyak-hive-thesis.git com,github)/acshulyak/ashulyak-hive-thesis.git 201601 /data/lsals/ETD-90K/2016_250000_Electrical-and-Computer-Engineering.pdf etd GitHub
https://github.com/adam27x/graph-utils com,github)/adam27x/graph-utils 201501 /data/lsals/ETD-90K/2015_62180_Electrical-and-Computer-Engineering.pdf etd GitHub
https://github.com/adam27x/hybrid com,github)/adam27x/hybrid 201501 /data/lsals/ETD-90K/2015_62180_Electrical-and-Computer-Engineering.pdf etd GitHub
https://github.com/adaptivegenome/repeatseq com,github)/adaptivegenome/repeatseq 201401 /data/lsals/ETD-90K/2014_203033_Animal-and-Poultry-Sciences.pdf etd GitHub
https://github.com/adda-team/adda/raw/v1.4.0/doc/manual.pdf com,github)/adda-team/adda/raw/v1.4.0/doc/manual.pdf 201901 /data/lsals/ETD-90K/2019_53064_Mechanical-Engineering.pdf etd GitHub
https://github.com/adept-dm/adept com,github)/adept-dm/adept 202001 /data/lsals/ETD-90K/2020_442106_Computer-Science.pdf etd GitHub
https://github.com/aditya12agd5/convcap com,github)/aditya12agd5/convcap 202001 /data/lsals/ETD-90K/2020_434559_Computer-Science.pdf etd GitHub
https://github.com/adrianriv/gans-mode-collapse com,github)/adrianriv/gans-mode-collapse 201901 /data/lsals/ETD-90K/2019_53292_Industrial-and-Systems-Engineering.pdf etd GitHub
https://github.com/aecker/moksm com,github)/aecker/moksm 201401 /data/lsals/ETD-90K/2014_65647_Engineering-and-Applied-Science.pdf etd GitHub
https://github.com/afd-illinois/ibothros2d com,github)/afd-illinois/ibothros2d 202001 /data/lsals/ETD-90K/2020_446559_Physics.pdf etd GitHub
https://github.com/afd-illinois/iharm2d_v3 com,github)/afd-illinois/iharm2d_v3 202001 /data/lsals/ETD-90K/2020_446559_Physics.pdf etd GitHub
https://github.com/afd-illinois/iharm3d com,github)/afd-illinois/iharm3d 202001 /data/lsals/ETD-90K/2020_446559_Physics.pdf etd GitHub
https://github.com/afd-illinois/ipole com,github)/afd-illinois/ipole 202001 /data/lsals/ETD-90K/2020_446559_Physics.pdf etd GitHub
https://github.com/afnetworking/afkissxmlrequestoperation com,github)/afnetworking/afkissxmlrequestoperation 201301 /data/lsals/ETD-90K/2013_365347_Computer-Science.pdf etd GitHub
https://github.com/agupta0905 com,github)/agupta0905 201601 /data/lsals/ETD-90K/2016_442610_Computer-Science.pdf etd GitHub
https://github.com/aguzmanballen com,github)/aguzmanballen 201501 /data/lsals/ETD-90K/2015_446056_Electrical-&-Computer-Eng.pdf etd GitHub
https://github.com/aheckmann/gridfs-stream com,github)/aheckmann/gridfs-stream 201501 /data/lsals/ETD-90K/2015_248188_Electrical-and-Computer-Engineering.pdf etd GitHub
https://github.com/ahmadyan/analog com,github)/ahmadyan/analog 201601 /data/lsals/ETD-90K/2016_435711_Electrical-&-Computer-Eng.pdf etd GitHub
https://github.com/ahmadyan/capacitated-selfish-replication-game com,github)/ahmadyan/capacitated-selfish-replication-game 201601 /data/lsals/ETD-90K/2016_435711_Electrical-&-Computer-Eng.pdf etd GitHub
