URL SURT Directory Filename URLType
https://bitbucket.org/gertidenas/dimer/commits/tag/tads org,bitbucket)/gertidenas/dimer/commits/tag/tads 201411 oa_pdf/42/82/41586_2014_Article_BFnature13986.PMC4251741.pdf oads_urls
https://bitbucket.org/young_computation/rose org,bitbucket)/young_computation/rose 201504 oa_pdf/36/7f/504.PMC4381522.pdf oads_urls
https://bitbucket.org/immunediversity/immunediversity/ org,bitbucket)/immunediversity/immunediversity 201504 oa_pdf/59/4a/kmab-07-03-1026502.PMC4622655.pdf non_oads_urls
https://bitbucket.org/srikarchamala/markerminer org,bitbucket)/srikarchamala/markerminer 201504 oa_pdf/6e/be/apps.1400115.PMC4406834.pdf oads_urls
https://bitbucket.org/srikarchamala/markerminer org,bitbucket)/srikarchamala/markerminer 201504 oa_pdf/6e/be/apps.1400115.PMC4406834.pdf non_oads_urls
https://bitbucket.org/djpbarry/adapt org,bitbucket)/djpbarry/adapt 201504 oa_pdf/82/e6/JCB_201501081.PMC4395480.pdf oads_urls
https://bitbucket.org/oaxiom/glbase/wiki/home/ org,bitbucket)/oaxiom/glbase/wiki/home 201302 oa_pdf/9f/7e/gks1300.PMC3575808.pdf oads_urls
https://bitbucket.org/jbaaijens/savage org,bitbucket)/jbaaijens/savage 201705 oa_pdf/57/bd/835.PMC5411778.pdf oads_urls
https://bitbucket.org/jbaaijens/savage-benchmarks org,bitbucket)/jbaaijens/savage-benchmarks 201705 oa_pdf/57/bd/835.PMC5411778.pdf oads_urls
https://bitbucket.org/xianfan/ org,bitbucket)/xianfan 201705 oa_pdf/c4/ab/793.PMC5411774.pdf non_oads_urls
https://bitbucket.org/pchanda/hapzipper/downloads/ org,bitbucket)/pchanda/hapzipper/downloads 201211 oa_pdf/49/44/gks709.PMC3488212.pdf non_oads_urls
https://bitbucket.org/p org,bitbucket)/p 201401 oa_pdf/1d/0c/wrcr0050-0208.PMC4257577.pdf oads_urls
https://bitbucket.org/berkeleylab/feba org,bitbucket)/berkeleylab/feba 201505 oa_pdf/d1/5d/mBio.00306-15.PMC4436071.pdf oads_urls
https://bitbucket.org/xavmeyer/hogan org,bitbucket)/xavmeyer/hogan 201505 oa_pdf/f2/48/ijn-10-3623.PMC4445873.pdf non_oads_urls
https://bitbucket.org/selene_fernandez/amphime- org,bitbucket)/selene_fernandez/amphime- 201509 oa_pdf/17/55/msv117.PMC4540969.pdf oads_urls
