Directory,URICount,Category,TotalURIs
2006-02,7,Total,7
2006-02,0,OADS,7
2006-02,7,NonOADS,7
2006-02,0,SourceForge,7
2006-02,0,GitHub,7
2006-02,0,GitLab,7
2006-02,0,Bitbucket,7
2007-10,51,Total,51
2007-10,10,OADS,51
2007-10,41,NonOADS,51
2007-10,0,SourceForge,51
2007-10,0,GitHub,51
2007-10,0,GitLab,51
2007-10,0,Bitbucket,51
2018-02,14,Total,14
2018-02,8,OADS,14
2018-02,6,NonOADS,14
2018-02,0,SourceForge,14
2018-02,0,GitHub,14
2018-02,0,GitLab,14
2018-02,0,Bitbucket,14
2011-01,2962,Total,2962
2011-01,950,OADS,2962
2011-01,1997,NonOADS,2962
2011-01,15,SourceForge,2962
2011-01,0,GitHub,2962
2011-01,0,GitLab,2962
2011-01,0,Bitbucket,2962
2002-05,40,Total,40
2002-05,3,OADS,40
2002-05,37,NonOADS,40
2002-05,0,SourceForge,40
2002-05,0,GitHub,40
2002-05,0,GitLab,40
2002-05,0,Bitbucket,40
2007-11,103,Total,103
2007-11,28,OADS,103
2007-11,75,NonOADS,103
2007-11,0,SourceForge,103
2007-11,0,GitHub,103
2007-11,0,GitLab,103
2007-11,0,Bitbucket,103
2018-03,2,Total,2
2018-03,0,OADS,2
2018-03,2,NonOADS,2
2018-03,0,SourceForge,2
2018-03,0,GitHub,2
2018-03,0,GitLab,2
2018-03,0,Bitbucket,2
2002-04,55,Total,55
2002-04,5,OADS,55
2002-04,50,NonOADS,55
2002-04,0,SourceForge,55
2002-04,0,GitHub,55
2002-04,0,GitLab,55
2002-04,0,Bitbucket,55
2015-07,7176,Total,7176
2015-07,1128,OADS,7176
2015-07,6029,NonOADS,7176
2015-07,8,SourceForge,7176
2015-07,11,GitHub,7176
2015-07,0,GitLab,7176
2015-07,0,Bitbucket,7176
2006-03,9,Total,9
2006-03,0,OADS,9
2006-03,9,NonOADS,9
2006-03,0,SourceForge,9
2006-03,0,GitHub,9
2006-03,0,GitLab,9
2006-03,0,Bitbucket,9
2010-12,1223,Total,1223
2010-12,224,OADS,1223
2010-12,996,NonOADS,1223
2010-12,3,SourceForge,1223
2010-12,0,GitHub,1223
2010-12,0,GitLab,1223
2010-12,0,Bitbucket,1223
2015-11,6268,Total,6268
2015-11,965,OADS,6268
2015-11,5275,NonOADS,6268
2015-11,9,SourceForge,6268
2015-11,17,GitHub,6268
2015-11,0,GitLab,6268
2015-11,2,Bitbucket,6268
2010-04,1415,Total,1415
2010-04,311,OADS,1415
2010-04,1101,NonOADS,1415
2010-04,2,SourceForge,1415
2010-04,1,GitHub,1415
2010-04,0,GitLab,1415
2010-04,0,Bitbucket,1415
2007-07,34,Total,34
2007-07,2,OADS,34
2007-07,32,NonOADS,34
2007-07,0,SourceForge,34
2007-07,0,GitHub,34
2007-07,0,GitLab,34
2007-07,0,Bitbucket,34
2002-12,47,Total,47
2002-12,2,OADS,47
2002-12,45,NonOADS,47
2002-12,0,SourceForge,47
2002-12,0,GitHub,47
2002-12,0,GitLab,47
2002-12,0,Bitbucket,47
2014-03,5494,Total,5494
2014-03,936,OADS,5494
2014-03,4545,NonOADS,5494
2014-03,7,SourceForge,5494
2014-03,5,GitHub,5494
2014-03,0,GitLab,5494
2014-03,1,Bitbucket,5494
2009-06,1057,Total,1057
2009-06,267,OADS,1057
2009-06,781,NonOADS,1057
2009-06,9,SourceForge,1057
2009-06,0,GitHub,1057
2009-06,0,GitLab,1057
2009-06,0,Bitbucket,1057
2000-05,122,Total,122
2000-05,5,OADS,122
2000-05,117,NonOADS,122
2000-05,0,SourceForge,122
2000-05,0,GitHub,122
2000-05,0,GitLab,122
2000-05,0,Bitbucket,122
2005-10,29,Total,29
2005-10,6,OADS,29
2005-10,23,NonOADS,29
2005-10,0,SourceForge,29
2005-10,0,GitHub,29
2005-10,0,GitLab,29
2005-10,0,Bitbucket,29
2013-01,5200,Total,5200
2013-01,1538,OADS,5200
2013-01,3640,NonOADS,5200
2013-01,10,SourceForge,5200
2013-01,10,GitHub,5200
2013-01,0,GitLab,5200
2013-01,2,Bitbucket,5200
2004-02,72,Total,72
2004-02,16,OADS,72
2004-02,56,NonOADS,72
2004-02,0,SourceForge,72
2004-02,0,GitHub,72
2004-02,0,GitLab,72
2004-02,0,Bitbucket,72
2017-06,6342,Total,6342
2017-06,983,OADS,6342
2017-06,5322,NonOADS,6342
2017-06,9,SourceForge,6342
2017-06,28,GitHub,6342
