Directory,URICount,Category,TotalURIs
2019-10,9,GitLab,13431
2019-10,22,Bitbucket,13431
2015-06,6712,Total,6712
2015-06,1731,OADS,6712
2015-06,4657,NonOADS,6712
2015-06,58,SourceForge,6712
2015-06,244,GitHub,6712
2015-06,4,GitLab,6712
2015-06,18,Bitbucket,6712
2021-11,12227,Total,12227
2021-11,2107,OADS,12227
2021-11,8270,NonOADS,12227
2021-11,28,SourceForge,12227
2021-11,1794,GitHub,12227
2021-11,13,GitLab,12227
2021-11,15,Bitbucket,12227
2018-02,10906,Total,10906
2018-02,2430,OADS,10906
2018-02,7273,NonOADS,10906
2018-02,53,SourceForge,10906
2018-02,1116,GitHub,10906
2018-02,5,GitLab,10906
2018-02,29,Bitbucket,10906
2007-10,2862,Total,2862
2007-10,690,OADS,2862
2007-10,2161,NonOADS,2862
2007-10,11,SourceForge,2862
2007-10,0,GitHub,2862
2007-10,0,GitLab,2862
2007-10,0,Bitbucket,2862
2011-01,3078,Total,3078
2011-01,751,OADS,3078
2011-01,2302,NonOADS,3078
2011-01,24,SourceForge,3078
2011-01,1,GitHub,3078
2011-01,0,GitLab,3078
2011-01,0,Bitbucket,3078
2021-07,16790,Total,16790
2021-07,2867,OADS,16790
2021-07,11371,NonOADS,16790
2021-07,36,SourceForge,16790
2021-07,2476,GitHub,16790
2021-07,21,GitLab,16790
2021-07,19,Bitbucket,16790
2014-02,4535,Total,4535
2014-02,1252,OADS,4535
2014-02,3171,NonOADS,4535
2014-02,33,SourceForge,4535
2014-02,68,GitHub,4535
2014-02,0,GitLab,4535
2014-02,11,Bitbucket,4535
2007-06,1756,Total,1756
2007-06,526,OADS,1756
2007-06,1216,NonOADS,1756
2007-06,14,SourceForge,1756
2007-06,0,GitHub,1756
2007-06,0,GitLab,1756
2007-06,0,Bitbucket,1756
2010-05,3139,Total,3139
2010-05,850,OADS,3139
2010-05,2270,NonOADS,3139
2010-05,18,SourceForge,3139
2010-05,1,GitHub,3139
2010-05,0,GitLab,3139
2010-05,0,Bitbucket,3139
2019-06,10377,Total,10377
2019-06,2019,OADS,10377
2019-06,6821,NonOADS,10377
2019-06,40,SourceForge,10377
2019-06,1476,GitHub,10377
2019-06,9,GitLab,10377
2019-06,12,Bitbucket,10377
2015-10,6251,Total,6251
2015-10,1569,OADS,6251
2015-10,4383,NonOADS,6251
2015-10,57,SourceForge,6251
2015-10,229,GitHub,6251
2015-10,0,GitLab,6251
2015-10,13,Bitbucket,6251
2017-07,8086,Total,8086
2017-07,1944,OADS,8086
2017-07,5354,NonOADS,8086
2017-07,50,SourceForge,8086
2017-07,713,GitHub,8086
2017-07,3,GitLab,8086
2017-07,22,Bitbucket,8086
2012-12,4163,Total,4163
2012-12,1003,OADS,4163
2012-12,3105,NonOADS,4163
2012-12,30,SourceForge,4163
2012-12,23,GitHub,4163
2012-12,0,GitLab,4163
2012-12,2,Bitbucket,4163
2009-07,2583,Total,2583
2009-07,689,OADS,2583
2009-07,1879,NonOADS,2583
2009-07,14,SourceForge,2583
2009-07,0,GitHub,2583
2009-07,0,GitLab,2583
2009-07,1,Bitbucket,2583
2016-03,7172,Total,7172
2016-03,1851,OADS,7172
2016-03,4924,NonOADS,7172
2016-03,42,SourceForge,7172
2016-03,342,GitHub,7172
2016-03,2,GitLab,7172
2016-03,11,Bitbucket,7172
2009-11,1450,Total,1450
2009-11,403,OADS,1450
2009-11,1043,NonOADS,1450
2009-11,3,SourceForge,1450
2009-11,1,GitHub,1450
2009-11,0,GitLab,1450
2009-11,0,Bitbucket,1450
2017-11,9869,Total,9869
2017-11,2226,OADS,9869
2017-11,6547,NonOADS,9869
2017-11,45,SourceForge,9869
2017-11,1016,GitHub,9869
2017-11,8,GitLab,9869
2017-11,27,Bitbucket,9869
2008-03,1921,Total,1921
2008-03,481,OADS,1921
2008-03,1419,NonOADS,1921
2008-03,21,SourceForge,1921
2008-03,0,GitHub,1921
2008-03,0,GitLab,1921
2008-03,0,Bitbucket,1921
2012-04,4288,Total,4288
2012-04,1112,OADS,4288
2012-04,3104,NonOADS,4288
2012-04,51,SourceForge,4288
2012-04,19,GitHub,4288
2012-04,0,GitLab,4288
2012-04,2,Bitbucket,4288
2010-09,2764,Total,2764
2010-09,719,OADS,2764
2010-09,2007,NonOADS,2764
2010-09,35,SourceForge,2764
2010-09,2,GitHub,2764
2010-09,0,GitLab,2764
2010-09,1,Bitbucket,2764
2012-08,4198,Total,4198
2012-08,1211,OADS,4198
2012-08,2916,NonOADS,4198
2012-08,37,SourceForge,4198
2012-08,29,GitHub,4198
2012-08,0,GitLab,4198
2012-08,5,Bitbucket,4198
2008-04,1971,Total,1971
2008-04,529,OADS,1971
2008-04,1427,NonOADS,1971
2008-04,15,SourceForge,1971
2008-04,0,GitHub,1971
2008-04,0,GitLab,1971
2008-04,0,Bitbucket,1971
2012-03,3993,Total,3993
2012-03,1118,OADS,3993
2012-03,2819,NonOADS,3993
2012-03,31,SourceForge,3993
2012-03,22,GitHub,3993
2012-03,0,GitLab,3993
2012-03,3,Bitbucket,3993
2013-11,4746,Total,4746
2013-11,1309,OADS,4746
2013-11,3326,NonOADS,4746
2013-11,53,SourceForge,4746
2013-11,52,GitHub,4746
2013-11,1,GitLab,4746
2013-11,5,Bitbucket,4746
2016-04,6691,Total,6691
2016-04,1712,OADS,6691
2016-04,4580,NonOADS,6691
2016-04,42,SourceForge,6691
2016-04,327,GitHub,6691
2016-04,5,GitLab,6691
2016-04,25,Bitbucket,6691
2013-07,5177,Total,5177
2013-07,1352,OADS,5177
2013-07,3723,NonOADS,5177
2013-07,43,SourceForge,5177
2013-07,53,GitHub,5177
2013-07,0,GitLab,5177
2013-07,6,Bitbucket,5177
2016-12,4229,Total,4229
2016-12,1164,OADS,4229
2016-12,2794,NonOADS,4229
2016-12,16,SourceForge,4229
2016-12,244,GitHub,4229
2016-12,1,GitLab,4229
2016-12,10,Bitbucket,4229
2008-12,2160,Total,2160
2008-12,548,OADS,2160
2008-12,1606,NonOADS,2160
2008-12,6,SourceForge,2160
2008-12,0,GitHub,2160
2008-12,0,GitLab,2160
2008-12,0,Bitbucket,2160
2019-01,11083,Total,11083
2019-01,2410,OADS,11083
2019-01,7332,NonOADS,11083
2019-01,41,SourceForge,11083
2019-01,1245,GitHub,11083
2019-01,15,GitLab,11083
2019-01,40,Bitbucket,11083
2010-02,2551,Total,2551
2010-02,668,OADS,2551
2010-02,1866,NonOADS,2551
2010-02,17,SourceForge,2551
2010-02,0,GitHub,2551
2010-02,0,GitLab,2551
2010-02,0,Bitbucket,2551
2020-12,15174,Total,15174
2020-12,3009,OADS,15174
2020-12,9859,NonOADS,15174
