URLCount,ecdf
0,0
-inf,0.0
1.0,0.002
1.0,0.004
1.0,0.005999999999999999
1.0,0.008
1.0,0.009999999999999998
1.0,0.011999999999999999
1.0,0.013999999999999999
1.0,0.016
1.0,0.018
1.0,0.019999999999999997
1.0,0.022
1.0,0.023999999999999997
1.0,0.026
1.0,0.027999999999999997
1.0,0.03
1.0,0.032
1.0,0.033999999999999996
1.0,0.036
1.0,0.038
1.0,0.039999999999999994
1.0,0.041999999999999996
1.0,0.044
1.0,0.046
1.0,0.047999999999999994
1.0,0.05
1.0,0.052000000000000005
1.0,0.054
1.0,0.055999999999999994
1.0,0.058
1.0,0.060000000000000005
1.0,0.062
1.0,0.064
1.0,0.066
1.0,0.068
1.0,0.06999999999999999
1.0,0.072
1.0,0.074
1.0,0.076
1.0,0.078
1.0,0.07999999999999999
1.0,0.082
1.0,0.084
1.0,0.086
1.0,0.088
1.0,0.09
1.0,0.092
1.0,0.094
1.0,0.09599999999999999
1.0,0.098
1.0,0.1
1.0,0.10200000000000001
1.0,0.104
1.0,0.106
1.0,0.108
1.0,0.10999999999999999
1.0,0.11199999999999999
1.0,0.11399999999999999
1.0,0.116
1.0,0.11800000000000001
1.0,0.12
1.0,0.122
1.0,0.124
1.0,0.12599999999999997
1.0,0.128
1.0,0.13
1.0,0.132
1.0,0.134
1.0,0.13599999999999998
1.0,0.13799999999999998
1.0,0.13999999999999999
1.0,0.142
1.0,0.144
1.0,0.146
1.0,0.148
1.0,0.15
1.0,0.152
1.0,0.154
1.0,0.156
1.0,0.15799999999999997
1.0,0.15999999999999998
1.0,0.16199999999999998
1.0,0.164
1.0,0.166
1.0,0.16799999999999998
1.0,0.16999999999999998
1.0,0.172
1.0,0.174
1.0,0.176
1.0,0.178
1.0,0.18
1.0,0.182
1.0,0.184
1.0,0.186
1.0,0.188
1.0,0.18999999999999997
1.0,0.19199999999999998
1.0,0.19399999999999998
1.0,0.196
1.0,0.198
1.0,0.2
1.0,0.202
1.0,0.20399999999999996
1.0,0.206
1.0,0.208
1.0,0.21
1.0,0.212
1.0,0.214
1.0,0.216
1.0,0.21799999999999997
1.0,0.21999999999999997
1.0,0.22199999999999998
1.0,0.22399999999999998
1.0,0.22599999999999998
1.0,0.22799999999999998
1.0,0.22999999999999998
1.0,0.232
1.0,0.234
1.0,0.23599999999999996
1.0,0.23799999999999996
1.0,0.24
1.0,0.242
1.0,0.244
1.0,0.246
1.0,0.248
1.0,0.24999999999999997
1.0,0.25199999999999995
1.0,0.25399999999999995
1.0,0.256
1.0,0.258
1.0,0.26
1.0,0.262
1.0,0.264
1.0,0.266
1.0,0.26799999999999996
1.0,0.26999999999999996
1.0,0.27199999999999996
1.0,0.27399999999999997
1.0,0.27599999999999997
1.0,0.27799999999999997
1.0,0.27999999999999997
1.0,0.282
1.0,0.284
1.0,0.286
1.0,0.288
1.0,0.29
1.0,0.292
1.0,0.294
1.0,0.296
1.0,0.298
1.0,0.3
1.0,0.302
1.0,0.304
