URLCount,cdf
1,63.77
2,77.714
3,83.86200000000001
4,87.366
5,89.55
6,91.00399999999999
7,92.24799999999999
8,93.116
9,93.784
10,94.354
11,94.84400000000001
12,95.26800000000001
13,95.59
14,95.84
15,96.11000000000001
16,96.39000000000001
17,96.56800000000001
18,96.754
19,96.924
20,97.06800000000001
21,97.19800000000001
22,97.31400000000001
23,97.43000000000002
24,97.54000000000002
25,97.61600000000001
26,97.7
27,97.78800000000001
28,97.89800000000001
29,97.98000000000002
30,98.04800000000002
31,98.11200000000001
32,98.176
33,98.23600000000002
34,98.29200000000002
35,98.33000000000001
36,98.37800000000001
37,98.39800000000002
38,98.45400000000002
39,98.50200000000002
40,98.53000000000002
41,98.56200000000001
42,98.59600000000002
43,98.61800000000002
44,98.65200000000002
45,98.66600000000003
46,98.70200000000003
47,98.72800000000002
48,98.75000000000003
49,98.78400000000002
50,98.80400000000003
51,98.83800000000002
52,98.85000000000002
53,98.87200000000003
54,98.88200000000002
55,98.90000000000002
56,98.92800000000001
57,98.95400000000002
58,98.97600000000001
59,98.99800000000002
60,99.00600000000001
61,99.02800000000002
62,99.03800000000001
63,99.04200000000002
64,99.05800000000002
65,99.07400000000003
66,99.09000000000003
67,99.10600000000004
68,99.11000000000004
69,99.12400000000005
70,99.13600000000005
71,99.14800000000005
72,99.16000000000005
73,99.17800000000004
74,99.18600000000004
75,99.20000000000005
76,99.20800000000004
77,99.21800000000005
78,99.23000000000005
79,99.24000000000004
80,99.24400000000004
81,99.25000000000004
82,99.26200000000004
83,99.27200000000003
84,99.27600000000004
85,99.28200000000004
86,99.29400000000004
87,99.31200000000004
89,99.31800000000003
90,99.32600000000002
91,99.33200000000002
92,99.34600000000002
93,99.35000000000002
94,99.36800000000002
95,99.37400000000002
96,99.38200000000002
97,99.38400000000001
98,99.38600000000002
99,99.39400000000002
100,99.40400000000001
101,99.40600000000002
102,99.41000000000003
103,99.41600000000001
104,99.42200000000001
105,99.42600000000002
106,99.43200000000002
107,99.438
108,99.44800000000001
109,99.454
110,99.456
111,99.46000000000001
112,99.466
113,99.476
115,99.478
116,99.488
117,99.49
118,99.492
119,99.494
120,99.502
121,99.508
122,99.512
123,99.516
124,99.52000000000001
125,99.52600000000001
126,99.528
127,99.53200000000001
128,99.534
129,99.53600000000002
130,99.54000000000002
131,99.54200000000002
132,99.54400000000003
133,99.54800000000003
134,99.55000000000003
135,99.55400000000003
137,99.55600000000004
138,99.56400000000004
139,99.56800000000004
140,99.57200000000003
141,99.57400000000004
142,99.57600000000004
143,99.58000000000004
144,99.58200000000005
146,99.58400000000005
147,99.58600000000006
148,99.58800000000005
150,99.59000000000006
151,99.59200000000006
152,99.60000000000005
153,99.60200000000006
155,99.61000000000006
156,99.61400000000006
157,99.61600000000006
160,99.62200000000006
161,99.62400000000005
162,99.62600000000006
163,99.62800000000006
165,99.63000000000007
168,99.63200000000006
169,99.63400000000007
170,99.64200000000007
171,99.64400000000006
172,99.64600000000007
174,99.64800000000007
175,99.65200000000007
176,99.65400000000008
177,99.65600000000008
178,99.65800000000009
179,99.66000000000008
180,99.66200000000008
181,99.66400000000009
183,99.67000000000009
184,99.67200000000008
185,99.67400000000009
187,99.67600000000009
188,99.68200000000009
191,99.68600000000009
192,99.69400000000009
193,99.69800000000009
195,99.70200000000008
197,99.7040000000001
198,99.7080000000001
199,99.7120000000001
200,99.7140000000001
202,99.7180000000001
207,99.72000000000011
208,99.72400000000012
209,99.72600000000011
210,99.72800000000012
212,99.73200000000013
215,99.73400000000012
216,99.73600000000012
217,99.73800000000013
218,99.74000000000012
224,99.74200000000013
226,99.75000000000013
228,99.75200000000012
229,99.75400000000013
232,99.75600000000013
234,99.75800000000014
235,99.76000000000013
236,99.76200000000014
237,99.76400000000014
239,99.76600000000015
240,99.76800000000014
241,99.77200000000015
243,99.77400000000016
245,99.77800000000016
247,99.78200000000015
249,99.78400000000016
251,99.78600000000016
254,99.78800000000017
255,99.79000000000016
257,99.79400000000017
258,99.79600000000018
264,99.79800000000017
265,99.80000000000018
267,99.80200000000018
270,99.80600000000018
271,99.80800000000019
277,99.81200000000018
284,99.81400000000019
286,99.81600000000019
290,99.8180000000002
293,99.82000000000019
295,99.8220000000002
297,99.8260000000002
300,99.83000000000021
302,99.8320000000002
304,99.83400000000022
305,99.83600000000021
306,99.83800000000022
308,99.84400000000021
310,99.84600000000022
313,99.84800000000021
314,99.85000000000022
316,99.85200000000022
322,99.85400000000023
324,99.85600000000022
325,99.85800000000023
327,99.86000000000023
335,99.86200000000022
340,99.86400000000023
342,99.86600000000023
363,99.86800000000024
371,99.87000000000023
372,99.87200000000024
374,99.87400000000024
375,99.87600000000025
380,99.87800000000024
384,99.88000000000025
392,99.88200000000025
400,99.88400000000026
403,99.88600000000025
406,99.88800000000026
407,99.89000000000026
418,99.89200000000025
