Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2012-01,GitLab,0,0,0,0,0,0,0,0,0
2012-01,Bitbucket,1,1,1,1,1,1,0.0002203128442388191,1,1
2000-01,SourceForge,1,1,1,1,1,1,0.0010235414534288639,1,1
2000-01,GitHub,0,0,0,0,0,0,0,0,0
2000-01,GitLab,0,0,0,0,0,0,0,0,0
2000-01,Bitbucket,0,0,0,0,0,0,0,0,0
1990-01,SourceForge,0,0,0,0,0,0,0,0,0
1990-01,GitHub,0,0,0,0,0,0,0,0,0
1990-01,GitLab,0,0,0,0,0,0,0,0,0
1990-01,Bitbucket,0,0,0,0,0,0,0,0,0
2020-01,SourceForge,1.2857142857142858,1,0.764875162105191,1.0,1.0,1.0,0.010687022900763359,1,4
2020-01,GitHub,2.4691358024691357,2,2.5211194509749904,1.0,2.0,3.0,0.12366412213740458,1,21
2020-01,GitLab,1.5,1.5,0.5,1.0,1.5,2.0,0.002035623409669211,1,2
2020-01,Bitbucket,1.4545454545454546,1,1.1570838237598051,1.0,1.0,1.0,0.0055979643765903305,1,5
2004-01,SourceForge,1.5,1.0,0.7637626158259734,1.0,1.0,2.0,0.010983981693363844,1,3
2004-01,GitHub,0,0,0,0,0,0,0,0,0
2004-01,GitLab,0,0,0,0,0,0,0,0,0
2004-01,Bitbucket,0,0,0,0,0,0,0,0,0
2008-01,SourceForge,1.2820512820512822,1,0.6384563896404478,1.0,1.0,1.0,0.01566265060240964,1,3
2008-01,GitHub,0,0,0,0,0,0,0,0,0
2008-01,GitLab,0,0,0,0,0,0,0,0,0
2008-01,Bitbucket,0,0,0,0,0,0,0,0,0
2016-01,SourceForge,1.15625,1.0,0.4038389994787527,1.0,1.0,1.0,0.015567988324008757,1,3
2016-01,GitHub,1.8983050847457628,1.0,2.5424858731953406,1.0,1.0,2.0,0.028703478472391145,1,26
2016-01,GitLab,0,0,0,0,0,0,0,0,0
2016-01,Bitbucket,1.1333333333333333,1,0.33993463423951903,1.0,1.0,1.0,0.0036487472634395522,1,2
2014-01,SourceForge,1.3763440860215055,1,0.8788308276001097,1.0,1.0,1.0,0.020685053380782917,1,6
2014-01,GitHub,1.5483870967741935,1.0,0.9947834803296306,1.0,1.0,2.0,0.013790035587188613,1,6
2014-01,GitLab,0,0,0,0,0,0,0,0,0
2014-01,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.0008896797153024911,1,1
2006-01,SourceForge,1.4814814814814814,1,0.9951873216699557,1.0,1.0,2.0,0.011450381679389313,1,5
2006-01,GitHub,0,0,0,0,0,0,0,0,0
2006-01,GitLab,0,0,0,0,0,0,0,0,0
2006-01,Bitbucket,0,0,0,0,0,0,0,0,0
2018-01,SourceForge,1.096774193548387,1,0.29565004483586066,1.0,1.0,1.0,0.009462759462759462,1,2
2018-01,GitHub,2.253061224489796,1,2.1441045931706886,1.0,1.0,3.0,0.07478632478632478,1,17
2018-01,GitLab,1.5,1.5,0.5,0.75,1.5,2.25,0.0006105006105006105,1,2
2018-01,Bitbucket,1.3,1.0,0.458257569495584,1.0,1.0,2.0,0.0030525030525030525,1,2
1992-01,SourceForge,0,0,0,0,0,0,0,0,0
1992-01,GitHub,0,0,0,0,0,0,0,0,0
1992-01,GitLab,0,0,0,0,0,0,0,0,0
1992-01,Bitbucket,0,0,0,0,0,0,0,0,0
