Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2021-06,SourceForge,1.0566037735849056,1,0.23108393799841304,1.0,1.0,1.0,0.0032625423207140658,1,2
2021-06,GitHub,1.866115702479339,1.0,3.359577085061405,1.0,1.0,2.0,0.2234533702677747,1,160
2021-06,GitLab,1.2666666666666666,1.0,0.679869268479038,1.0,1.0,1.0,0.003693444136657433,1,4
2021-06,Bitbucket,1.2941176470588236,1.0,0.7870051858976266,1.0,1.0,1.0,0.002092951677439212,1,5
2018-03,SourceForge,1.1111111111111112,1.0,0.3142696805273545,1.0,1.0,1.0,0.004674110620618021,1,2
2018-03,GitHub,1.579724409448819,1.0,2.004802875526454,1.0,1.0,2.0,0.08794252575088722,1,41
2018-03,GitLab,1.125,1.0,0.33071891388307384,1.0,1.0,1.0,0.0006924608326841513,1,2
2018-03,Bitbucket,1.1333333333333333,1.0,0.42687494916218993,1.0,1.0,1.0,0.0025967281225655675,1,3
2007-11,SourceForge,1.1176470588235294,1,0.32218973970892123,1.0,1.0,1.0,0.0033817386114979114,1,2
2007-11,GitHub,1,1,1,1,1,1,0.00019892580067634773,1,1
2007-11,GitLab,0,0,0,0,0,0,0,0,0
2007-11,Bitbucket,0,0,0,0,0,0,0,0,0
2021-10,SourceForge,1.103448275862069,1.0,0.3566924287168483,1.0,1.0,1.0,0.0036388732040905955,1,3
2021-10,GitHub,1.8997887111379415,1,2.781548983134642,1.0,1.0,2.0,0.20785494698538176,1,71
2021-10,GitLab,1.1818181818181819,1,0.43026034786179024,1.0,1.0,1.0,0.003450655624568668,1,3
2021-10,Bitbucket,1.1764705882352942,1,0.4730328659535223,1.0,1.0,1.0,0.003199698851872765,1,3
2019-11,SourceForge,1.1379310344827587,1.0,0.3916488514345016,1.0,1.0,1.0,0.004363855240388233,1,3
2019-11,GitHub,1.6837965390665968,1,2.099058309232256,1.0,1.0,2.0,0.1434805507486269,1,71
2019-11,GitLab,1.3513513513513513,1,1.0453556543683091,1.0,1.0,1.0,0.0027838386878338726,1,6
2019-11,Bitbucket,1.0909090909090908,1,0.28747978728803447,1.0,1.0,1.0,0.0024828831540139942,1,2
2010-12,SourceForge,1.069767441860465,1,0.2547546779093796,1.0,1.0,1.0,0.007131011608623549,1,2
2010-12,GitHub,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.0004975124378109452,1,2
2010-12,GitLab,0,0,0,0,0,0,0,0,0
2010-12,Bitbucket,0,0,0,0,0,0,0,0,0
2015-07,SourceForge,1.105263157894737,1,0.4054112283610997,1.0,1.0,1.0,0.006339673006339673,1,3
2015-07,GitHub,1.3136363636363637,1.0,0.7241267182836382,1.0,1.0,1.0,0.024468913357802248,1,6
2015-07,GitLab,1,1,1,1,1,1,0.00011122233344455567,1,1
2015-07,Bitbucket,1.105263157894737,1,0.30689220499185793,1.0,1.0,1.0,0.0021132243354465576,1,2
2020-02,SourceForge,1.1551724137931034,1.0,0.40691116280020506,1.0,1.0,1.0,0.004487080303264738,1,3
2020-02,GitHub,1.7344145970603142,1,1.8933598656278208,1.0,1.0,2.0,0.15263809376450566,1,33
2020-02,GitLab,1.1764705882352942,1.0,0.3812200410828153,1.0,1.0,1.0,0.0026303574191551913,1,2
2020-02,Bitbucket,1.2352941176470589,1.0,0.596993621476013,1.0,1.0,1.0,0.0026303574191551913,1,4
2020-03,SourceForge,1.2580645161290323,1.0,1.0915435042379762,1.0,1.0,1.0,0.004301970580072162,1,9
2020-03,GitHub,1.768,1.0,2.3803730800023764,1.0,1.0,2.0,0.15611990008326396,1,62
2020-03,GitLab,1.2380952380952381,1.0,0.6098213559459856,1.0,1.0,1.0,0.0029142381348875937,1,4
2020-03,Bitbucket,1.1951219512195121,1,0.45368476189605544,1.0,1.0,1.0,0.0028448515126283653,1,3
