Directory,URLCount,Category
2010-02,0,GitHub
2010-02,0,GitLab
2010-02,0,Bitbucket
2020-12,67,SourceForge
2020-12,4792,GitHub
2020-12,66,GitLab
2020-12,46,Bitbucket
2014-05,64,SourceForge
2014-05,134,GitHub
2014-05,4,GitLab
2014-05,19,Bitbucket
2011-10,42,SourceForge
2011-10,10,GitHub
2011-10,0,GitLab
2011-10,1,Bitbucket
2011-06,37,SourceForge
2011-06,8,GitHub
2011-06,0,GitLab
2011-06,1,Bitbucket
2018-05,61,SourceForge
2018-05,2021,GitHub
2018-05,15,GitLab
2018-05,40,Bitbucket
2015-01,62,SourceForge
2015-01,157,GitHub
2015-01,0,GitLab
2015-01,10,Bitbucket
2020-04,90,SourceForge
2020-04,4662,GitHub
2020-04,50,GitLab
2020-04,43,Bitbucket
2008-08,11,SourceForge
2008-08,0,GitHub
2008-08,0,GitLab
2008-08,0,Bitbucket
2016-08,98,SourceForge
2016-08,542,GitHub
2016-08,2,GitLab
2016-08,38,Bitbucket
2014-09,61,SourceForge
2014-09,119,GitHub
2014-09,0,GitLab
2014-09,20,Bitbucket
2018-09,74,SourceForge
2018-09,1889,GitHub
2018-09,16,GitLab
2018-09,44,Bitbucket
2020-08,73,SourceForge
2020-08,3765,GitHub
2020-08,50,GitLab
2020-08,35,Bitbucket
2020-09,84,SourceForge
2020-09,4196,GitHub
2020-09,62,GitLab
2020-09,53,Bitbucket
2018-08,60,SourceForge
2018-08,1745,GitHub
2018-08,17,GitLab
2018-08,36,Bitbucket
2014-08,50,SourceForge
2014-08,91,GitHub
2014-08,2,GitLab
2014-08,11,Bitbucket
2016-09,66,SourceForge
2016-09,597,GitHub
2016-09,1,GitLab
2016-09,41,Bitbucket
2008-09,18,SourceForge
2008-09,0,GitHub
2008-09,0,GitLab
2008-09,0,Bitbucket
2020-05,74,SourceForge
2020-05,4428,GitHub
2020-05,58,GitLab
2020-05,35,Bitbucket
2014-12,75,SourceForge
2014-12,209,GitHub
2014-12,0,GitLab
2014-12,13,Bitbucket
2011-07,65,SourceForge
2011-07,11,GitHub
2011-07,0,GitLab
2011-07,0,Bitbucket
2018-04,66,SourceForge
2018-04,1637,GitHub
2018-04,16,GitLab
2018-04,34,Bitbucket
2021-01,64,SourceForge
2021-01,3823,GitHub
2021-01,50,GitLab
2021-01,46,Bitbucket
2014-04,69,SourceForge
