Directory,FileCount,FileWithURL
1938-12,63,0
1934-04,81,0
1990-09,169,0
1966-06,82,0
1901-01,40,0
1953-03,57,0
2000-02,87,84
1945-12,60,0
2009-01,804,531
1940-07,128,0
2013-06,3092,2587
1949-04,117,0
1919-11,58,0
2018-12,8554,7823
1954-01,142,0
1910-12,69,0
1942-10,80,0
2011-11,1837,1448
1947-05,68,0
1964-11,73,0
1929-01,173,0
2021-01,12075,11522
1968-07,150,0
1933-06,70,0
1961-04,60,0
1959-05,38,0
1950-06,60,0
2003-07,177,92
1902-04,51,0
1918-03,59,0
1943-02,61,0
1924-05,100,0
1980-08,113,0
1976-07,160,0
1965-03,53,0
1937-01,141,0
1973-12,83,0
1921-10,69,0
1902-12,71,0
1950-10,105,0
1914-03,70,0
1946-01,103,0
2006-04,243,110
1955-05,33,0
1907-07,63,0
1932-02,100,0
1976-11,106,0
1969-03,77,0
1973-04,118,0
1928-05,164,0
1942-06,66,0
1910-04,76,0
1951-02,74,0
1958-01,97,0
1992-08,139,0
1936-05,99,0
1964-07,103,0
1961-12,21,0
1933-10,98,0
1977-03,110,0
1968-11,92,0
1925-01,128,0
1945-08,48,0
1963-09,61,0
1995-06,165,0
1938-08,62,0
1999-10,200,85
1986-02,112,0
1900-09,64,0
2008-09,595,409
1998-02,156,96
1987-10,183,0
1991-01,222,1
1926-08,71,0
1982-05,135,0
1957-08,27,0
2004-09,151,101
1971-09,95,0
1987-06,104,0
1994-02,150,0
1949-08,94,0
1912-09,83,0
1983-01,189,10
1995-10,163,0
1990-05,130,0
1934-08,72,0
1999-06,159,80
1984-03,125,0
1992-12,155,0
1961-08,18,0
1997-07,249,2
1947-09,98,0
2014-08,3638,3098
1989-07,214,0
1980-04,138,1
1924-09,86,0
1985-11,141,0
1959-09,48,0
1980-12,119,0
1996-03,221,1
1989-11,164,0
1928-09,110,0
1973-08,114,0
1985-07,195,1
1955-09,52,0
2006-08,222,133
1936-09,108,0
1992-04,198,0
1997-11,206,100
1988-03,165,0
2018-08,6983,6408
2018-09,8845,7819
1910-09,62,0
1992-05,125,0
1936-08,80,0
1981-01,145,0
1997-10,210,103
1988-02,159,0
2006-09,271,179
1955-08,31,0
1996-02,167,0
1989-10,217,1
1928-08,75,0
1973-09,87,0
1985-06,123,0
1959-08,27,0
1989-06,175,0
1924-08,60,0
1980-05,123,0
1985-10,203,0
1993-01,236,0
2014-09,4726,4164
1947-08,81,0
1984-02,120,0
1961-09,53,8
1997-06,180,2
1995-11,206,0
1934-09,78,0
1990-04,204,2
1999-07,244,87
1949-09,75,0
1912-08,77,0
1971-08,117,0
1987-07,239,0
1982-12,140,0
1994-03,189,0
2004-08,164,90
1957-09,48,0
1998-03,131,88
1987-11,158,0
1982-04,193,0
1926-09,73,0
1963-08,79,0
1995-07,235,2
1938-09,92,0
1999-11,174,103
1986-03,128,0
1990-12,196,0
1945-09,56,0
1936-04,100,0
1992-09,143,0
1964-06,72,0
1933-11,76,0
1977-02,89,0
1968-10,147,0
2011-06,2100,1511
1942-07,108,1
2002-02,86,65
1951-03,58,0
1947-12,64,0
1960-01,122,0
1932-03,118,0
1976-10,184,0
1969-02,87,0
1924-12,68,0
1921-07,68,0
1973-05,110,0
2020-04,9984,9466
1928-04,109,0
1950-11,87,0
1914-02,91,0
1959-12,27,0
2015-01,6345,5713
1955-04,77,0
1980-09,98,0
1924-04,105,0
1976-06,90,0
1965-02,72,0
1928-12,67,0
2020-12,16041,12539
1921-11,72,0
1959-04,70,0
2003-06,129,79
1950-07,115,0
1918-02,67,0
2019-01,9081,8471
1955-12,21,0
1911-01,69,0
1943-03,63,0
1964-10,161,0
1936-12,50,0
1972-01,157,0
1968-06,75,0
1933-07,120,0
1961-05,39,0
1906-02,59,0
1942-11,93,0
1947-04,78,0
2014-05,3949,3545
1915-06,78,0
2000-03,121,96
1953-02,70,0
1917-11,66,0
2013-07,4137,3746
1940-06,61,0
1949-05,100,0
1963-12,67,0
1931-10,91,0
1975-03,84,0
1927-01,146,0
1990-08,162,0
1934-05,87,0
1966-07,135,0
1957-05,34,0
1952-10,109,0
1909-11,76,0
1916-03,73,0
1944-01,92,0
2008-12,676,402
1923-06,81,0
1971-04,122,0
1978-07,115,0
1930-02,108,0
1974-11,107,0
1939-01,121,0
1905-11,39,0
2004-12,180,100
1948-01,140,0
1941-02,80,0
1909-07,66,0
2001-07,154,78
1952-06,53,0
1978-11,110,0
1967-03,97,0
1935-01,169,0
1971-12,77,0
1923-10,68,0
1926-05,82,0
1982-08,134,0
1974-07,174,0
1945-05,63,0
1917-07,73,0
1904-03,75,0
1956-01,97,0
2013-11,3316,2854
1940-10,89,0
1938-05,95,0
1931-06,75,0
1963-04,101,0
1979-03,115,0
1966-11,101,0
1977-01,160,0
1925-03,85,0
1961-10,83,10
1933-12,57,0
1936-07,144,0
1964-05,53,0
1947-11,102,0
2014-10,4846,4305
1958-03,36,0
2002-01,139,84
2018-06,7716,6980
1919-05,76,0
1942-04,83,0
1910-06,82,0
1928-07,114,0
1985-09,145,0
1973-06,95,0
2020-07,11992,11470
1969-01,132,0
1924-11,90,0
1960-02,31,0
1955-07,87,0
2006-06,265,127
1946-03,78,0
2015-02,3990,3576
1959-11,40,0
1902-10,74,0
1950-12,59,0
1973-10,171,0
1921-12,47,0
1965-01,114,0
1937-03,99,0
1928-11,123,0
1989-09,150,0
1924-07,94,0
1976-05,109,0
1911-02,78,0
2010-01,1476,1015
1918-01,62,0
1955-11,55,0
2019-02,7488,7051
2003-05,123,105
1950-04,106,0
1959-07,101,0
1997-09,177,67
1933-04,99,0
1961-06,31,0
1968-05,125,0
1972-02,116,0
1936-11,87,0
1929-03,113,0
1947-07,116,0
2014-06,4388,3686
1915-05,55,0
1910-10,67,0
1942-12,75,0
1906-01,70,0
1954-03,58,0
2007-02,300,183
2018-10,8977,8240
1949-06,59,0
2013-04,3536,3088
1940-05,80,0
1912-07,64,0
1917-12,85,0
1945-10,96,0
1901-03,40,0
1953-01,122,0
1934-06,76,0
1966-04,100,0
1999-08,136,70
1938-10,115,0
1927-02,84,0
1963-11,63,0
1909-12,68,0
2008-11,476,369
1944-02,59,0
2017-03,7292,6481
1900-11,63,0
1957-06,31,0
1974-12,72,0
1939-02,72,0
1926-10,102,0
1962-03,79,0
1930-01,155,0
1978-04,144,0
1987-08,155,0
1923-05,81,0
1971-07,139,0
1952-05,77,0
1900-07,68,0
2008-07,648,459
1941-01,136,0
1905-12,45,0
1948-02,77,0
1957-10,79,0
1926-06,84,0
1974-04,194,0
1971-11,112,0
1978-12,115,0
1935-02,71,0
2013-12,4134,3386
1949-10,105,0
1956-02,20,0
1945-06,70,0
2016-07,6537,6066
1917-04,72,1
1970-03,86,0
1922-01,93,0
1966-12,66,0
1934-10,115,0
1931-05,143,0
1995-08,172,0
1963-07,105,0
1938-06,70,0
1942-08,71,0
2011-09,2365,1787
1919-09,66,0
1988-01,198,1
1981-02,114,0
1964-09,64,0
1992-06,155,0
1907-09,70,0
1985-05,142,0
1921-08,51,0
1996-01,216,3
1980-10,177,2
1950-08,50,0
2003-09,159,108
1993-02,151,0
1976-09,108,0
1980-06,127,0
1989-05,157,0
1915-09,63,0
1968-09,73,0
1933-08,60,0
1997-05,190,2
1992-10,210,2
1984-01,181,2
1999-04,194,77
1966-08,88,0
1990-07,236,0
1995-12,190,1
1983-03,131,0
1940-09,86,0
1982-11,146,0
1923-09,82,0
1987-04,169,2
1978-08,122,0
1905-08,47,0
1974-08,106,0
1982-07,178,4
1991-03,155,0
1987-12,168,0
1909-08,58,0
1952-09,76,0
2001-08,99,84
1990-11,153,0
1999-12,172,86
1995-04,165,1
1931-09,119,0
1990-10,196,1
1986-01,163,0
1931-08,81,0
1995-05,190,0
1952-08,63,0
1974-09,96,0
1982-06,148,0
1991-02,148,0
1998-01,192,84
1994-01,200,0
1982-10,196,3
1987-05,113,0
1923-08,54,0
1978-09,109,0
2013-09,4094,3579
1940-08,61,0
1999-05,198,101
1966-09,115,0
1990-06,118,0
1983-02,142,0
1968-08,67,0
1997-04,193,2
1933-09,99,0
1992-11,150,0
1993-03,136,1
1985-12,160,0
1976-08,104,0
1980-07,160,0
1989-04,193,0
2003-08,105,83
1950-09,81,0
1921-09,71,0
1985-04,164,0
1989-12,213,0
1980-11,107,0
1997-12,177,109
1981-03,115,0
1964-08,69,0
