URLCount,ecdf,Category
0,0,SourceForge
-inf,0.0,SourceForge
1.0,0.11574074074074073,SourceForge
1.0,0.23148148148148145,SourceForge
1.0,0.3472222222222222,SourceForge
1.0,0.4629629629629629,SourceForge
1.0,0.5787037037037037,SourceForge
1.0,0.6944444444444444,SourceForge
1.0,0.8101851851851851,SourceForge
1.0,0.9259259259259258,SourceForge
1.0,1.0416666666666665,SourceForge
1.0,1.1574074074074074,SourceForge
1.0,1.2731481481481481,SourceForge
1.0,1.3888888888888888,SourceForge
1.0,1.5046296296296295,SourceForge
1.0,1.6203703703703702,SourceForge
1.0,1.7361111111111112,SourceForge
1.0,1.8518518518518516,SourceForge
1.0,1.9675925925925923,SourceForge
1.0,2.083333333333333,SourceForge
1.0,2.199074074074074,SourceForge
1.0,2.314814814814815,SourceForge
1.0,2.4305555555555554,SourceForge
1.0,2.546296296296296,SourceForge
1.0,2.662037037037037,SourceForge
1.0,2.7777777777777777,SourceForge
1.0,2.893518518518518,SourceForge
1.0,3.0092592592592586,SourceForge
1.0,3.125,SourceForge
1.0,3.2407407407407405,SourceForge
1.0,3.356481481481481,SourceForge
1.0,3.472222222222222,SourceForge
1.0,3.587962962962963,SourceForge
1.0,3.7037037037037033,SourceForge
1.0,3.819444444444444,SourceForge
1.0,3.9351851851851847,SourceForge
1.0,4.050925925925926,SourceForge
1.0,4.166666666666666,SourceForge
1.0,4.2824074074074066,SourceForge
1.0,4.398148148148148,SourceForge
1.0,4.513888888888888,SourceForge
1.0,4.62962962962963,SourceForge
1.0,4.74537037037037,SourceForge
1.0,4.861111111111111,SourceForge
1.0,4.976851851851851,SourceForge
1.0,5.092592592592593,SourceForge
1.0,5.208333333333333,SourceForge
1.0,5.3240740740740735,SourceForge
1.0,5.439814814814815,SourceForge
1.0,5.555555555555555,SourceForge
1.0,5.671296296296296,SourceForge
1.0,5.787037037037036,SourceForge
1.0,5.902777777777777,SourceForge
1.0,6.018518518518518,SourceForge
1.0,6.134259259259259,SourceForge
1.0,6.249999999999999,SourceForge
1.0,6.365740740740741,SourceForge
1.0,6.481481481481481,SourceForge
1.0,6.597222222222222,SourceForge
1.0,6.712962962962964,SourceForge
1.0,6.828703703703703,SourceForge
1.0,6.944444444444445,SourceForge
1.0,7.060185185185186,SourceForge
1.0,7.175925925925926,SourceForge
1.0,7.291666666666667,SourceForge
1.0,7.4074074074074066,SourceForge
1.0,7.523148148148148,SourceForge
1.0,7.638888888888889,SourceForge
1.0,7.75462962962963,SourceForge
1.0,7.87037037037037,SourceForge
1.0,7.986111111111111,SourceForge
1.0,8.101851851851851,SourceForge
1.0,8.217592592592593,SourceForge
1.0,8.333333333333332,SourceForge
1.0,8.449074074074074,SourceForge
1.0,8.564814814814815,SourceForge
1.0,8.680555555555555,SourceForge
1.0,8.796296296296296,SourceForge
1.0,8.912037037037038,SourceForge
1.0,9.027777777777777,SourceForge
1.0,9.143518518518519,SourceForge
1.0,9.25925925925926,SourceForge
1.0,9.375,SourceForge
1.0,9.49074074074074,SourceForge
1.0,9.606481481481481,SourceForge
1.0,9.722222222222223,SourceForge
1.0,9.837962962962962,SourceForge
1.0,9.953703703703704,SourceForge
1.0,10.069444444444445,SourceForge
1.0,10.185185185185185,SourceForge
1.0,10.300925925925926,SourceForge
1.0,10.416666666666668,SourceForge
1.0,10.532407407407407,SourceForge
1.0,10.648148148148149,SourceForge
1.0,10.76388888888889,SourceForge
1.0,10.87962962962963,SourceForge
1.0,10.99537037037037,SourceForge
1.0,11.11111111111111,SourceForge
