Directory,URLCount,Category
2020-0312,0,Bitbucket
2020-1508,2203,Total
2020-1508,3,SourceForge
2020-1508,3,GitHub
2020-1508,0,GitLab
2020-1508,0,Bitbucket
2020-1908,2896,Total
2020-1908,2,SourceForge
2020-1908,20,GitHub
2020-1908,0,GitLab
2020-1908,0,Bitbucket
2020-0708,1460,Total
2020-0708,31,SourceForge
2020-0708,0,GitHub
2020-0708,0,GitLab
2020-0708,0,Bitbucket
2020-0712,1394,Total
2020-0712,1,SourceForge
2020-0712,0,GitHub
2020-0712,0,GitLab
2020-0712,0,Bitbucket
2020-1912,2602,Total
2020-1912,3,SourceForge
2020-1912,29,GitHub
2020-1912,0,GitLab
2020-1912,0,Bitbucket
2020-1512,2368,Total
2020-1512,4,SourceForge
2020-1512,6,GitHub
2020-1512,0,GitLab
2020-1512,0,Bitbucket
2020-2105,2761,Total
2020-2105,0,SourceForge
2020-2105,19,GitHub
2020-2105,0,GitLab
2020-2105,0,Bitbucket
2020-0905,1538,Total
2020-0905,3,SourceForge
2020-0905,0,GitHub
2020-0905,0,GitLab
2020-0905,0,Bitbucket
2020-1705,2570,Total
2020-1705,4,SourceForge
2020-1705,2,GitHub
2020-1705,0,GitLab
2020-1705,0,Bitbucket
2020-0505,971,Total
2020-0505,1,SourceForge
2020-0505,0,GitHub
2020-0505,0,GitLab
2020-0505,0,Bitbucket
2020-0912,2852,Total
2020-0912,0,SourceForge
2020-0912,0,GitHub
2020-0912,0,GitLab
2020-0912,0,Bitbucket
2020-1712,2179,Total
2020-1712,3,SourceForge
2020-1712,15,GitHub
2020-1712,0,GitLab
2020-1712,0,Bitbucket
2020-0512,1491,Total
2020-0512,2,SourceForge
2020-0512,0,GitHub
2020-0512,0,GitLab
2020-0512,0,Bitbucket
2020-0705,876,Total
2020-0705,1,SourceForge
2020-0705,0,GitHub
2020-0705,0,GitLab
2020-0705,0,Bitbucket
2020-1905,2671,Total
2020-1905,1,SourceForge
2020-1905,15,GitHub
2020-1905,0,GitLab
2020-1905,0,Bitbucket
2020-1505,2450,Total
2020-1505,0,SourceForge
2020-1505,6,GitHub
2020-1505,0,GitLab
2020-1505,0,Bitbucket
2020-2112,3324,Total
2020-2112,4,SourceForge
2020-2112,39,GitHub
2020-2112,2,GitLab
2020-2112,0,Bitbucket
2020-0508,1066,Total
2020-0508,0,SourceForge
2020-0508,6,GitHub
2020-0508,0,GitLab
2020-0508,0,Bitbucket
2020-1708,2874,Total
2020-1708,2,SourceForge
2020-1708,19,GitHub
2020-1708,0,GitLab
2020-1708,0,Bitbucket
2020-0908,1599,Total
2020-0908,4,SourceForge
2020-0908,0,GitHub
2020-0908,0,GitLab
2020-0908,0,Bitbucket
2020-2108,3051,Total
2020-2108,2,SourceForge
2020-2108,49,GitHub
2020-2108,1,GitLab
2020-2108,0,Bitbucket
