Filename,Bitbucket,GitHub,GitLab,SourceForge
1611.00037v2.pdf,,2,,1
1611.01114v3.pdf,,1,,1
1611.02145v1.pdf,,2,,1
1611.02494v1.pdf,1,2,,
1611.04426v1.pdf,1,1,,
1611.07532v1.pdf,1,,,1
1611.07626v1.pdf,1,1,,
1611.07965v2.pdf,,1,,1
1611.10231v1.pdf,,5,,2
1612.00309v1.pdf,,1,,1
1701.00185v1.pdf,,3,,1
1701.00854v3.pdf,,13,,1
1701.02537v1.pdf,,1,,1
1701.03038v2.pdf,1,1,,
1701.04126v1.pdf,,1,,1
1701.04269v1.pdf,,2,,1
1701.05323v1.pdf,,2,,2
1701.08223v2.pdf,,1,,1
1702.01460v5.pdf,,3,,1
1702.02817v1.pdf,,1,,1
1702.04684v1.pdf,,1,,1
1702.04938v1.pdf,,1,,1
1702.06387v1.pdf,,3,1,
1702.06715v1.pdf,,1,,1
1702.08080v2.pdf,,1,,1
1704.02375v1.pdf,,1,,1
1704.02996v2.pdf,1,2,,
1704.03383v1.pdf,,2,,1
1704.05063v2.pdf,,2,,1
1704.05295v1.pdf,,2,,2
1704.08137v1.pdf,,1,,1
1704.08756v1.pdf,,1,,1
1705.00720v2.pdf,,1,,1
1705.00743v1.pdf,,1,,1
1705.01085v1.pdf,,1,,1
1705.01152v1.pdf,1,1,,
1705.04192v1.pdf,1,1,,
1705.04448v5.pdf,1,1,,
1705.05315v1.pdf,,1,,1
1705.05637v1.pdf,,2,,1
1705.06483v2.pdf,1,1,,
1705.06782v2.pdf,,1,,1
1705.07065v1.pdf,,1,,1
1705.08978v1.pdf,,1,,1
1706.01130v1.pdf,,1,,1
1706.02301v1.pdf,,1,,1
1706.02892v2.pdf,1,2,,
1706.03035v1.pdf,,4,,1
1706.03232v3.pdf,,4,,1
1706.04459v2.pdf,,1,,1
1706.06802v1.pdf,,1,,1
1706.07613v2.pdf,,2,,1
1706.08609v2.pdf,,1,,1
1706.10151v2.pdf,,7,,1
1707.00201v2.pdf,,2,,1
1707.00825v1.pdf,,3,,1
1707.01277v2.pdf,,1,1,
1707.01615v2.pdf,,2,,1
1707.05731v2.pdf,1,1,,
1707.06813v1.pdf,,1,,1
1709.00501v1.pdf,,,1,2
1709.02555v1.pdf,1,1,,
1709.02647v6.pdf,1,1,,
1709.02823v1.pdf,,1,,1
1709.03751v2.pdf,,1,,1
1709.03854v1.pdf,,1,,1
1709.05001v1.pdf,,1,,1
1709.05945v1.pdf,,1,1,
1709.05956v1.pdf,1,1,,
1709.05974v2.pdf,,1,,1
1709.07508v1.pdf,,6,,1
1709.08328v1.pdf,,1,,1
1709.09029v1.pdf,,2,,1
1709.09216v3.pdf,1,1,,
1709.09474v2.pdf,,3,,2
1709.09927v3.pdf,,1,,1
1709.10147v1.pdf,,1,,1
1709.10483v2.pdf,,1,,1
1710.02801v2.pdf,,1,1,
1710.03238v2.pdf,,1,,1
1710.03357v1.pdf,,2,,1
1710.03476v1.pdf,1,1,,
1710.03675v1.pdf,,3,,1
1710.05202v1.pdf,,2,,3
1710.05455v1.pdf,1,1,,
1710.07654v3.pdf,,1,,1
1710.08155v1.pdf,1,1,,
1710.08932v2.pdf,,1,,1
1710.09145v1.pdf,,4,,1
1710.09627v1.pdf,,2,,1
1711.00938v1.pdf,1,1,,
1711.03204v1.pdf,,5,1,
1711.04951v1.pdf,,1,,1
1711.08477v2.pdf,,2,,1
1711.08774v4.pdf,,3,,1
1711.09856v3.pdf,1,4,,
1711.09886v2.pdf,,1,,1
1711.10014v2.pdf,1,1,,
1711.10373v1.pdf,1,4,,
1711.10500v1.pdf,1,1,,
1711.10521v1.pdf,1,1,,
1711.10524v1.pdf,2,2,,
1711.11439v1.pdf,1,6,,1
1712.02757v1.pdf,,2,,1
1712.03020v1.pdf,1,1,,
1712.03201v2.pdf,,9,,1
1712.03651v2.pdf,,2,,2
1712.06790v2.pdf,,1,,1
1712.07804v1.pdf,,4,,1
1712.09402v1.pdf,,3,,1
1712.10281v2.pdf,,1,,1
1802.00033v1.pdf,1,2,,
1802.00320v1.pdf,,3,,1
1802.00462v2.pdf,,1,,3
1802.00660v2.pdf,1,1,,
1802.01542v1.pdf,1,1,,
1802.02503v2.pdf,,3,,2
1802.02974v2.pdf,1,17,,
1802.03422v1.pdf,,4,,2
1802.03691v3.pdf,,2,,3
1802.03768v1.pdf,1,3,,1
1802.04803v1.pdf,1,1,,
1802.04852v4.pdf,1,2,,
1802.05385v1.pdf,,2,,1
1802.06551v1.pdf,,8,,1
1802.06603v2.pdf,,1,,1
1802.07211v1.pdf,,1,,1
1802.07958v1.pdf,1,2,,
1802.08927v1.pdf,,1,,1
1803.00356v1.pdf,,1,,1
1803.00832v1.pdf,,1,,1
1803.00925v2.pdf,1,1,,
1803.02629v2.pdf,1,,,1
1803.03448v3.pdf,,1,,1
1803.03525v1.pdf,,1,,1
1803.03786v1.pdf,,1,1,
1803.03889v1.pdf,,1,1,
1803.04442v1.pdf,,1,,1
1803.04970v3.pdf,1,4,,
1803.06185v1.pdf,1,1,,
1803.07495v1.pdf,,1,,1
1803.08376v2.pdf,,1,,1
1803.09181v1.pdf,1,,1,
1803.09569v2.pdf,1,1,,
1803.09584v1.pdf,1,4,,
1803.09900v3.pdf,,2,,2
1803.10551v2.pdf,1,2,,
1804.00015v1.pdf,,3,,1
1804.01760v1.pdf,,1,,2
1804.03655v2.pdf,1,2,,
1804.04152v1.pdf,,1,,1
1804.04154v1.pdf,1,2,,
1804.04637v2.pdf,,1,,1
1804.05895v2.pdf,,6,1,
1804.09536v1.pdf,2,1,,1
1804.10571v1.pdf,,2,,1
1804.10745v2.pdf,,1,,1
1805.00745v1.pdf,,1,,1
