Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2019-6509,GitHub,0,0,0,0,0,0,0,0,0
2019-6509,GitLab,0,0,0,0,0,0,0,0,0
2019-6509,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9306,SourceForge,0,0,0,0,0,0,0,0,0
2019-9306,GitHub,0,0,0,0,0,0,0,0,0
2019-9306,GitLab,0,0,0,0,0,0,0,0,0
2019-9306,Bitbucket,0,0,0,0,0,0,0,0,0
2019-1809,SourceForge,0,0,0,0,0,0,0,0,0
2019-1809,GitHub,0,0,0,0,0,0,0,0,0
2019-1809,GitLab,0,0,0,0,0,0,0,0,0
2019-1809,Bitbucket,0,0,0,0,0,0,0,0,0
2020-1009,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.004081632653061225,1,1
2020-1009,GitHub,0,0,0,0,0,0,0,0,0
2020-1009,GitLab,0,0,0,0,0,0,0,0,0
2020-1009,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4308,SourceForge,0,0,0,0,0,0,0,0,0
2019-4308,GitHub,0,0,0,0,0,0,0,0,0
2019-4308,GitLab,0,0,0,0,0,0,0,0,0
2019-4308,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3208,SourceForge,0,0,0,0,0,0,0,0,0
2019-3208,GitHub,0,0,0,0,0,0,0,0,0
2019-3208,GitLab,0,0,0,0,0,0,0,0,0
2019-3208,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9605,SourceForge,0,0,0,0,0,0,0,0,0
2019-9605,GitHub,0,0,0,0,0,0,0,0,0
2019-9605,GitLab,0,0,0,0,0,0,0,0,0
2019-9605,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6909,SourceForge,0,0,0,0,0,0,0,0,0
2019-6909,GitHub,0,0,0,0,0,0,0,0,0
2019-6909,GitLab,0,0,0,0,0,0,0,0,0
2019-6909,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8501,SourceForge,0,0,0,0,0,0,0,0,0
2019-8501,GitHub,0,0,0,0,0,0,0,0,0
2019-8501,GitLab,0,0,0,0,0,0,0,0,0
2019-8501,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9310,SourceForge,0,0,0,0,0,0,0,0,0
2019-9310,GitHub,0,0,0,0,0,0,0,0,0
2019-9310,GitLab,0,0,0,0,0,0,0,0,0
2019-9310,Bitbucket,0,0,0,0,0,0,0,0,0
2019-1409,SourceForge,0,0,0,0,0,0,0,0,0
2019-1409,GitHub,0,0,0,0,0,0,0,0,0
2019-1409,GitLab,0,0,0,0,0,0,0,0,0
2019-1409,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9202,SourceForge,0,0,0,0,0,0,0,0,0
2019-9202,GitHub,0,0,0,0,0,0,0,0,0
2019-9202,GitLab,0,0,0,0,0,0,0,0,0
2019-9202,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8805,SourceForge,0,0,0,0,0,0,0,0,0
2019-8805,GitHub,0,0,0,0,0,0,0,0,0
2019-8805,GitLab,0,0,0,0,0,0,0,0,0
2019-8805,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7709,SourceForge,0,0,0,0,0,0,0,0,0
2019-7709,GitHub,0,0,0,0,0,0,0,0,0
2019-7709,GitLab,0,0,0,0,0,0,0,0,0
2019-7709,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8106,SourceForge,0,0,0,0,0,0,0,0,0
2019-8106,GitHub,0,0,0,0,0,0,0,0,0
2019-8106,GitLab,0,0,0,0,0,0,0,0,0
2019-8106,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5108,SourceForge,0,0,0,0,0,0,0,0,0
2019-5108,GitHub,0,0,0,0,0,0,0,0,0
2019-5108,GitLab,0,0,0,0,0,0,0,0,0
2019-5108,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6303,SourceForge,0,0,0,0,0,0,0,0,0
2019-6303,GitHub,0,0,0,0,0,0,0,0,0
2019-6303,GitLab,0,0,0,0,0,0,0,0,0
2019-6303,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3101,SourceForge,0,0,0,0,0,0,0,0,0
2019-3101,GitHub,0,0,0,0,0,0,0,0,0
2019-3101,GitLab,0,0,0,0,0,0,0,0,0
2019-3101,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7512,SourceForge,0,0,0,0,0,0,0,0,0
2019-7512,GitHub,0,0,0,0,0,0,0,0,0
2019-7512,GitLab,0,0,0,0,0,0,0,0,0
2019-7512,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3802,SourceForge,0,0,0,0,0,0,0,0,0
2019-3802,GitHub,0,0,0,0,0,0,0,0,0
2019-3802,GitLab,0,0,0,0,0,0,0,0,0
2019-3802,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2710,SourceForge,0,0,0,0,0,0,0,0,0
2019-2710,GitHub,0,0,0,0,0,0,0,0,0
2019-2710,GitLab,0,0,0,0,0,0,0,0,0
2019-2710,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8608,SourceForge,0,0,0,0,0,0,0,0,0
2019-8608,GitHub,0,0,0,0,0,0,0,0,0
2019-8608,GitLab,0,0,0,0,0,0,0,0,0
2019-8608,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2205,SourceForge,1,1,1,1,1,1,0.0030303030303030303,1,1
2019-2205,GitHub,1.375,1.0,0.6959705453537527,1.0,1.0,1.75,0.024242424242424242,1,3
2019-2205,GitLab,0,0,0,0,0,0,0,0,0
2019-2205,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7007,SourceForge,0,0,0,0,0,0,0,0,0
2019-7007,GitHub,0,0,0,0,0,0,0,0,0
2019-7007,GitLab,0,0,0,0,0,0,0,0,0
2019-7007,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7904,SourceForge,0,0,0,0,0,0,0,0,0
2019-7904,GitHub,0,0,0,0,0,0,0,0,0
2019-7904,GitLab,0,0,0,0,0,0,0,0,0
