Filename,Bitbucket,GitHub,GitLab,SourceForge
1410.8844v2.pdf,,1,,1
1411.1102v1.pdf,,2,,1
1411.1953v1.pdf,,2,,1
1411.2003v3.pdf,1,1,,
1411.3751v2.pdf,,1,,1
1411.4980v1.pdf,,1,,1
1412.1127v1.pdf,,1,,1
1412.1623v1.pdf,,1,,1
1412.1772v1.pdf,,2,,1
1412.2005v1.pdf,,1,,1
1412.5143v4.pdf,3,3,,
1412.6853v2.pdf,,5,,1
1412.6868v2.pdf,,7,,2
1412.7309v1.pdf,,2,,3
1412.7977v1.pdf,,1,,1
1412.8461v4.pdf,,1,,1
1501.01608v2.pdf,1,1,,
1501.05701v3.pdf,,2,,1
1501.06857v1.pdf,,6,,1
1502.01057v1.pdf,1,1,,
1502.01312v3.pdf,,3,,1
1502.01625v2.pdf,,1,,1
1502.01657v1.pdf,,2,,2
1502.01753v1.pdf,,1,,1
1502.02033v1.pdf,,1,,1
1502.02798v2.pdf,1,1,,
1502.03514v1.pdf,1,,,1
1502.05072v3.pdf,,1,,1
1502.05767v4.pdf,,7,,1
1502.07969v1.pdf,,3,,1
1503.01398v2.pdf,,1,,1
1503.01538v1.pdf,,2,,1
1503.02781v1.pdf,,3,,4
1503.02801v1.pdf,,1,,2
1503.05615v2.pdf,1,1,,
1503.06276v1.pdf,,1,,2
1503.06598v1.pdf,,1,,1
1503.08768v4.pdf,,1,,1
1503.09022v3.pdf,,1,,1
1504.00693v1.pdf,,1,,1
1504.01163v2.pdf,,1,,2
1504.01674v4.pdf,,1,,1
1504.02205v3.pdf,,1,,1
1504.02294v1.pdf,,5,,2
1504.02935v1.pdf,1,2,,
1504.03002v3.pdf,1,1,,
1504.03659v1.pdf,,1,,2
1504.03684v2.pdf,,1,,1
1504.04653v1.pdf,,1,,1
1504.04942v1.pdf,,1,,1
1504.07424v1.pdf,2,1,,
1504.07795v1.pdf,1,1,,
1504.08110v1.pdf,,3,,2
1505.00344v1.pdf,1,,,1
1505.01871v2.pdf,1,1,,
1505.02065v6.pdf,,2,,1
1505.03421v2.pdf,,2,,1
1505.04437v1.pdf,1,,,1
1505.04581v1.pdf,,2,,1
1505.04771v2.pdf,,2,,1
1505.05211v1.pdf,,1,,1
1505.05613v1.pdf,,1,,3
1505.05782v2.pdf,,1,,1
1505.05815v2.pdf,,1,,1
1505.06318v4.pdf,,1,,1
1505.07540v2.pdf,,1,,3
1505.07855v1.pdf,,1,,2
1506.00262v1.pdf,,5,,1
1506.01075v1.pdf,1,2,,1
1506.01449v4.pdf,,7,,1
1506.02131v1.pdf,2,2,,
1506.03163v4.pdf,,1,,1
1506.03482v1.pdf,,1,,1
1506.04212v2.pdf,4,1,,
1506.04228v1.pdf,,1,,2
1506.04579v2.pdf,1,1,,
1506.04986v1.pdf,2,1,,
1506.05217v2.pdf,,1,,1
1506.05692v1.pdf,,1,,1
1506.05860v3.pdf,,1,,1
1506.06102v1.pdf,,2,,1
1506.07057v1.pdf,,1,,1
1506.07710v2.pdf,,1,,1
1506.08726v3.pdf,2,4,,
1506.08800v3.pdf,,4,,1
1506.08903v7.pdf,1,5,,
1507.00490v2.pdf,,1,,2
1507.03122v1.pdf,,1,,1
1507.03527v1.pdf,,1,,1
1507.04383v1.pdf,,1,,1
1507.05272v1.pdf,,1,,1
1507.05444v6.pdf,,1,,1
1507.05598v2.pdf,2,3,,
1507.05603v3.pdf,1,4,,
1507.06696v2.pdf,,1,,1
1507.08815v2.pdf,,1,,1
1507.08911v1.pdf,,1,,1
1508.01872v1.pdf,,1,,1
1508.02120v2.pdf,,1,,1
1508.02948v2.pdf,1,2,,3
1508.03893v1.pdf,,1,,1
1508.04159v2.pdf,,,2,1
1508.05681v1.pdf,,4,,2
1508.06119v1.pdf,,3,,2
1508.06535v1.pdf,,2,,2
1508.07887v2.pdf,,2,,1
1509.00908v2.pdf,,1,,1
1509.03101v1.pdf,,1,,1
1509.03931v1.pdf,,2,,1
1509.05135v2.pdf,,1,,1
1509.05778v2.pdf,,2,,1
1509.06377v1.pdf,2,1,,
1509.07053v1.pdf,,2,,1
1509.07607v1.pdf,,1,,1
1509.07982v2.pdf,,1,,1
1509.08982v2.pdf,,1,,2
1509.09092v1.pdf,1,2,,
1509.09174v4.pdf,,1,,1
1510.00271v2.pdf,1,2,,1
1510.00726v1.pdf,2,1,,
1510.01419v3.pdf,,2,,1
1510.02037v2.pdf,,2,,1
1510.02796v1.pdf,,1,,1
1510.04194v1.pdf,,1,,1
1510.05028v1.pdf,,1,,2
1510.05373v1.pdf,,3,,5
1510.07563v3.pdf,,2,,1
1510.07749v1.pdf,,1,,1
1510.08862v1.pdf,,1,,1
1510.09093v1.pdf,,1,,1
1511.00915v1.pdf,,1,,1
1511.00916v1.pdf,1,,,1
1511.01232v1.pdf,,1,,1
1511.01767v2.pdf,1,3,,
1511.02851v2.pdf,,2,,1
1511.03036v1.pdf,,1,,2
1511.03243v3.pdf,1,1,,
1511.04851v2.pdf,1,1,,
1511.05406v1.pdf,,1,,1
1511.06995v1.pdf,,1,,1
1511.08678v1.pdf,,1,,1
1512.00778v1.pdf,,1,,1
1512.02363v3.pdf,1,2,,
1512.06810v2.pdf,,2,,1
1512.07780v1.pdf,,2,,1
1512.07950v1.pdf,,4,,1
1512.07982v1.pdf,,1,,2
1512.08326v2.pdf,,2,,1
1512.08357v2.pdf,,1,,1
1512.08546v3.pdf,,2,,1
1512.08899v4.pdf,1,3,,1
1601.00516v3.pdf,1,3,,
1601.02433v1.pdf,1,11,1,
1601.03069v1.pdf,,1,,1
1601.03144v1.pdf,,2,,1
1601.03346v2.pdf,,1,,1
1601.03443v2.pdf,,1,,1
1601.03547v1.pdf,,2,,1
1601.03980v1.pdf,,3,,1
1601.04026v3.pdf,,1,,1
1601.04709v3.pdf,2,1,,
1601.05144v1.pdf,,1,,1
1601.05437v1.pdf,,1,,1
1601.05788v5.pdf,,2,,1
1601.06194v1.pdf,,2,,1
1601.07392v2.pdf,1,2,,
1601.07458v2.pdf,1,1,,
1601.07962v1.pdf,,1,,1
1602.00009v3.pdf,,2,,1
1602.01171v1.pdf,1,3,,
1602.01175v1.pdf,2,1,,
1602.03315v1.pdf,,1,,1
1602.03638v1.pdf,1,4,,
1602.03643v1.pdf,,2,,1
1602.03930v2.pdf,1,1,,
1602.04629v1.pdf,,1,,1
1602.05165v1.pdf,,1,,1
1602.05328v1.pdf,1,3,,
1602.05570v1.pdf,,1,,1
1602.06402v4.pdf,,1,,1
1602.06620v1.pdf,1,1,,
1602.06920v3.pdf,,1,,1
1602.07043v2.pdf,1,1,,2
1602.07384v2.pdf,2,2,,
1602.07614v1.pdf,,3,,1
1602.08991v1.pdf,,5,,1
1603.00293v2.pdf,1,1,,
1603.00545v2.pdf,,1,,1
1603.00581v1.pdf,,3,,1
1603.00656v1.pdf,,1,,2
1603.02038v1.pdf,,1,,1
1603.02916v1.pdf,,1,,1
1603.03165v4.pdf,,2,,1
1603.03795v1.pdf,,1,,1
1603.05211v1.pdf,,1,,1
1603.05790v3.pdf,2,2,,
1603.06284v1.pdf,,1,,1
1603.07119v3.pdf,,1,,1
1603.08636v1.pdf,,3,,1
1603.08880v2.pdf,,1,,2
1604.00048v1.pdf,1,1,,
1604.00055v2.pdf,,1,,1
1604.00131v3.pdf,,1,,1
1604.00896v4.pdf,,3,,1
1604.01304v1.pdf,,1,,1
1604.01651v3.pdf,1,1,,
1604.03075v1.pdf,1,1,,
1604.04103v1.pdf,,1,,2
1604.04638v1.pdf,,1,,1
1604.05508v3.pdf,,1,,1
1604.05872v1.pdf,1,4,,
1604.06002v2.pdf,,4,,1
1604.06463v2.pdf,1,1,,
1604.06667v1.pdf,,1,,1
1604.07660v1.pdf,1,1,,
1604.07871v1.pdf,2,3,,
1604.08592v1.pdf,,1,,1
1605.00555v2.pdf,,3,,1
1605.01569v1.pdf,,3,3,1
1605.02036v1.pdf,1,1,,
1605.03636v1.pdf,,1,,2
1605.03705v1.pdf,,1,,1
1605.03849v1.pdf,1,1,,
1605.05305v1.pdf,2,2,,
1605.05619v1.pdf,1,3,,
1605.06413v1.pdf,,1,,2
1605.06483v1.pdf,,2,,1
1605.07012v2.pdf,,1,,1
1605.07811v3.pdf,,2,,1
1605.08422v2.pdf,1,2,,
1605.09362v3.pdf,,2,,1
1606.00054v2.pdf,,2,,1
1606.01042v1.pdf,,1,,1
1606.02858v2.pdf,,2,,1
1606.03192v1.pdf,1,3,,
1606.03357v1.pdf,1,1,,
1606.03417v2.pdf,,1,,1
1606.04640v1.pdf,1,1,,
1606.05254v2.pdf,,2,,9
1606.05915v1.pdf,,1,,2
1606.06006v1.pdf,1,2,,
1606.06204v2.pdf,1,6,,1
1606.06726v1.pdf,3,2,,
1606.06977v2.pdf,,3,,1
1606.08805v2.pdf,1,1,,
1607.00485v1.pdf,1,1,,
1607.00825v1.pdf,,7,,1
1607.00850v1.pdf,1,4,,
1607.00909v1.pdf,,3,,1
1607.01182v2.pdf,,1,,1
1607.01539v1.pdf,,1,,1
1607.01883v5.pdf,,1,,1
1607.02734v1.pdf,,2,,1
1607.03245v1.pdf,,3,,1
1607.03579v2.pdf,,3,,1
1607.04012v2.pdf,1,2,,
1607.04315v3.pdf,1,2,,
1607.04675v1.pdf,,1,,1
1607.05171v1.pdf,,1,,1
1607.05609v2.pdf,,3,,1
1607.06364v1.pdf,4,1,,
1607.07248v1.pdf,,1,,1
1607.07783v1.pdf,,1,,1
1607.07886v2.pdf,,1,,1
1608.00100v1.pdf,,2,,1
1608.00163v2.pdf,1,1,,
1608.00895v2.pdf,,3,,1
1608.00910v3.pdf,1,1,,
1608.01019v1.pdf,,3,,1
1608.01723v2.pdf,,1,,1
1608.01933v1.pdf,1,5,,
1608.02461v1.pdf,1,1,,
1608.02621v2.pdf,,1,,1
1608.02761v1.pdf,,1,,1
1608.02841v1.pdf,,2,,1
1608.03293v2.pdf,1,2,,
1608.03431v1.pdf,,2,,1
1608.03624v1.pdf,,1,,3
1608.04016v1.pdf,,1,,1
1608.04024v1.pdf,,1,,1
1608.04335v1.pdf,1,1,,
1608.04340v4.pdf,,1,,1
1608.04431v2.pdf,,5,,1
1608.04434v1.pdf,,1,,1
1608.04446v3.pdf,,1,,1
1608.05747v1.pdf,1,1,,
1608.05866v2.pdf,,1,,1
1608.06249v1.pdf,,16,,11
1608.06281v1.pdf,,2,,1
1608.06696v1.pdf,1,1,,
