URLCount,ecdf,Category
0,0,SourceForge
-inf,0.0,SourceForge
1.0,0.02004008016032064,SourceForge
1.0,0.04008016032064128,SourceForge
1.0,0.06012024048096192,SourceForge
1.0,0.08016032064128256,SourceForge
1.0,0.1002004008016032,SourceForge
1.0,0.12024048096192384,SourceForge
1.0,0.1402805611222445,SourceForge
1.0,0.16032064128256512,SourceForge
1.0,0.18036072144288579,SourceForge
1.0,0.2004008016032064,SourceForge
1.0,0.22044088176352705,SourceForge
1.0,0.24048096192384769,SourceForge
1.0,0.2605210420841683,SourceForge
1.0,0.280561122244489,SourceForge
1.0,0.30060120240480964,SourceForge
1.0,0.32064128256513025,SourceForge
1.0,0.3406813627254509,SourceForge
1.0,0.36072144288577157,SourceForge
1.0,0.3807615230460922,SourceForge
1.0,0.4008016032064128,SourceForge
1.0,0.42084168336673344,SourceForge
1.0,0.4408817635270541,SourceForge
1.0,0.4609218436873747,SourceForge
1.0,0.48096192384769537,SourceForge
1.0,0.501002004008016,SourceForge
1.0,0.5210420841683366,SourceForge
1.0,0.5410821643286573,SourceForge
1.0,0.561122244488978,SourceForge
1.0,0.5811623246492986,SourceForge
1.0,0.6012024048096193,SourceForge
1.0,0.6212424849699398,SourceForge
1.0,0.6412825651302605,SourceForge
1.0,0.6613226452905812,SourceForge
1.0,0.6813627254509018,SourceForge
1.0,0.7014028056112225,SourceForge
1.0,0.7214428857715431,SourceForge
1.0,0.7414829659318637,SourceForge
1.0,0.7615230460921844,SourceForge
1.0,0.781563126252505,SourceForge
1.0,0.8016032064128256,SourceForge
1.0,0.8216432865731461,SourceForge
1.0,0.8416833667334669,SourceForge
1.0,0.8617234468937874,SourceForge
1.0,0.8817635270541082,SourceForge
1.0,0.9018036072144288,SourceForge
1.0,0.9218436873747494,SourceForge
1.0,0.94188376753507,SourceForge
1.0,0.9619238476953907,SourceForge
1.0,0.9819639278557113,SourceForge
1.0,1.002004008016032,SourceForge
1.0,1.0220440881763526,SourceForge
1.0,1.0420841683366733,SourceForge
1.0,1.062124248496994,SourceForge
1.0,1.0821643286573146,SourceForge
1.0,1.1022044088176353,SourceForge
1.0,1.122244488977956,SourceForge
1.0,1.1422845691382764,SourceForge
1.0,1.1623246492985972,SourceForge
1.0,1.1823647294589177,SourceForge
1.0,1.2024048096192386,SourceForge
1.0,1.222444889779559,SourceForge
1.0,1.2424849699398797,SourceForge
1.0,1.2625250501002003,SourceForge
1.0,1.282565130260521,SourceForge
1.0,1.3026052104208417,SourceForge
1.0,1.322645290581162,SourceForge
1.0,1.342685370741483,SourceForge
1.0,1.3627254509018034,SourceForge
1.0,1.382765531062124,SourceForge
1.0,1.4028056112224447,SourceForge
1.0,1.4228456913827654,SourceForge
1.0,1.442885771543086,SourceForge
1.0,1.4629258517034067,SourceForge
1.0,1.4829659318637274,SourceForge
1.0,1.503006012024048,SourceForge
1.0,1.5230460921843685,SourceForge
1.0,1.5430861723446894,SourceForge
1.0,1.56312625250501,SourceForge
1.0,1.5831663326653307,SourceForge
1.0,1.6032064128256516,SourceForge
1.0,1.623246492985972,SourceForge
1.0,1.6432865731462927,SourceForge
1.0,1.6633266533066133,SourceForge
1.0,1.683366733466934,SourceForge
1.0,1.7034068136272544,SourceForge
1.0,1.723446893787575,SourceForge
1.0,1.743486973947896,SourceForge
1.0,1.7635270541082166,SourceForge
1.0,1.783567134268537,SourceForge
1.0,1.8036072144288577,SourceForge
1.0,1.8236472945891786,SourceForge
1.0,1.8436873747494993,SourceForge
1.0,1.8637274549098197,SourceForge
