URLCount,ecdf,Category
-inf,0.0,SourceForge
1.0,0.00012382367508667657,SourceForge
1.0,0.00024764735017335313,SourceForge
1.0,0.0003714710252600297,SourceForge
1.0,0.0004952947003467063,SourceForge
1.0,0.0006191183754333828,SourceForge
1.0,0.0007429420505200594,SourceForge
1.0,0.000866765725606736,SourceForge
1.0,0.0009905894006934125,SourceForge
1.0,0.001114413075780089,SourceForge
1.0,0.0012382367508667657,SourceForge
1.0,0.0013620604259534422,SourceForge
1.0,0.0014858841010401188,SourceForge
1.0,0.0016097077761267954,SourceForge
1.0,0.001733531451213472,SourceForge
1.0,0.0018573551263001485,SourceForge
1.0,0.001981178801386825,SourceForge
1.0,0.0021050024764735016,SourceForge
1.0,0.002228826151560178,SourceForge
1.0,0.0023526498266468548,SourceForge
1.0,0.0024764735017335313,SourceForge
1.0,0.002600297176820208,SourceForge
1.0,0.0027241208519068845,SourceForge
1.0,0.002847944526993561,SourceForge
1.0,0.0029717682020802376,SourceForge
1.0,0.003095591877166914,SourceForge
1.0,0.0032194155522535907,SourceForge
1.0,0.0033432392273402673,SourceForge
1.0,0.003467062902426944,SourceForge
1.0,0.0035908865775136204,SourceForge
1.0,0.003714710252600297,SourceForge
1.0,0.0038385339276869736,SourceForge
1.0,0.00396235760277365,SourceForge
1.0,0.004086181277860326,SourceForge
1.0,0.004210004952947002,SourceForge
1.0,0.00433382862803368,SourceForge
1.0,0.004457652303120356,SourceForge
1.0,0.0045814759782070325,SourceForge
1.0,0.004705299653293709,SourceForge
1.0,0.0048291233283803865,SourceForge
1.0,0.004952947003467063,SourceForge
1.0,0.005076770678553739,SourceForge
1.0,0.005200594353640415,SourceForge
1.0,0.005324418028727093,SourceForge
1.0,0.005448241703813769,SourceForge
1.0,0.005572065378900445,SourceForge
1.0,0.005695889053987121,SourceForge
1.0,0.005819712729073799,SourceForge
1.0,0.005943536404160475,SourceForge
1.0,0.006067360079247151,SourceForge
1.0,0.0061911837543338274,SourceForge
1.0,0.006315007429420505,SourceForge
1.0,0.0064388311045071814,SourceForge
1.0,0.006562654779593858,SourceForge
1.0,0.006686478454680534,SourceForge
1.0,0.006810302129767212,SourceForge
1.0,0.006934125804853888,SourceForge
1.0,0.007057949479940564,SourceForge
1.0,0.00718177315502724,SourceForge
1.0,0.007305596830113918,SourceForge
1.0,0.007429420505200594,SourceForge
1.0,0.00755324418028727,SourceForge
1.0,0.007677067855373946,SourceForge
1.0,0.007800891530460624,SourceForge
1.0,0.0079247152055473,SourceForge
1.0,0.008048538880633976,SourceForge
1.0,0.008172362555720653,SourceForge
1.0,0.008296186230807329,SourceForge
1.0,0.008420009905894007,SourceForge
1.0,0.008543833580980683,SourceForge
1.0,0.008667657256067359,SourceForge
1.0,0.008791480931154037,SourceForge
1.0,0.008915304606240713,SourceForge
1.0,0.009039128281327389,SourceForge
1.0,0.009162951956414065,SourceForge
1.0,0.009286775631500741,SourceForge
1.0,0.009410599306587419,SourceForge
1.0,0.009534422981674095,SourceForge
1.0,0.009658246656760771,SourceForge
1.0,0.00978207033184745,SourceForge
1.0,0.009905894006934125,SourceForge
1.0,0.010029717682020801,SourceForge
1.0,0.010153541357107478,SourceForge
1.0,0.010277365032194154,SourceForge
1.0,0.010401188707280832,SourceForge
1.0,0.010525012382367508,SourceForge
1.0,0.010648836057454184,SourceForge
1.0,0.010772659732540862,SourceForge
1.0,0.010896483407627538,SourceForge
1.0,0.011020307082714214,SourceForge
